title,category,country,experienceLevel,minSalaryUSD,maxSalaryUSD,medianSalaryUSD
Backend Developer,Engineering,UAE,Senior,75000,120000,95000
Backend Developer,Engineering,Qatar,Entry,25000,35000,30000
Backend Developer,Engineering,Qatar,Mid,40000,65000,52000
Backend Developer,Engineering,Qatar,Senior,70000,105000,90000
Backend Developer,Engineering,Egypt,Entry,3500,6500,5000
Backend Developer,Engineering,Egypt,Mid,7500,13000,9500
Backend Developer,Engineering,Egypt,Senior,15000,27000,20000
Backend Developer,Engineering,Syria,Entry,1800,3500,2500
Backend Developer,Engineering,Syria,Mid,4000,7000,5500
Backend Developer,Engineering,Syria,Senior,7500,13000,10000
Backend Developer,Engineering,Palestine,Entry,6500,11000,8500
Backend Developer,Engineering,Palestine,Mid,13000,25000,19000
Backend Developer,Engineering,Palestine,Senior,26000,48000,37000
Backend Developer,Engineering,Jordan,Entry,7500,12000,9500
Backend Developer,Engineering,Jordan,Mid,13000,24000,18000
Backend Developer,Engineering,Jordan,Senior,26000,42000,33000
Backend Developer,Engineering,Morocco,Entry,5500,9500,7500
Backend Developer,Engineering,Morocco,Mid,11000,19000,15000
Backend Developer,Engineering,Morocco,Senior,22000,37000,30000
Backend Developer,Engineering,India,Entry,4500,9000,6500
Backend Developer,Engineering,India,Mid,11000,22000,16500
Backend Developer,Engineering,India,Senior,27000,48000,38000
Backend Developer,Engineering,Pakistan,Entry,3500,6500,5000
Backend Developer,Engineering,Pakistan,Mid,8000,16000,11000
Backend Developer,Engineering,Pakistan,Senior,20000,33000,26000
Backend Developer,Engineering,Singapore,Entry,50000,70000,60000
Backend Developer,Engineering,Singapore,Mid,75000,105000,90000
Backend Developer,Engineering,Singapore,Senior,115000,155000,135000
Backend Developer,Engineering,Japan,Entry,40000,55000,47000
Backend Developer,Engineering,Japan,Mid,60000,80000,70000
Backend Developer,Engineering,Japan,Senior,85000,115000,100000
Backend Developer,Engineering,Australia,Entry,55000,75000,65000
Backend Developer,Engineering,Australia,Mid,80000,110000,95000
Backend Developer,Engineering,Australia,Senior,115000,150000,130000
Backend Developer,Engineering,Brazil,Entry,8500,15000,11500
Backend Developer,Engineering,Brazil,Mid,17000,30000,23500
Backend Developer,Engineering,Brazil,Senior,32000,53000,42000
Backend Developer,Engineering,South Africa,Entry,13000,22000,17500
Backend Developer,Engineering,South Africa,Mid,27000,43000,35000
Backend Developer,Engineering,South Africa,Senior,48000,75000,60000
Backend Developer,Engineering,Nigeria,Entry,4500,8500,6500
Backend Developer,Engineering,Nigeria,Mid,11000,19000,15000
Backend Developer,Engineering,Nigeria,Senior,24000,38000,31000
UI/UX Designer,Design,USA,Entry,60000,80000,70000
UI/UX Designer,Design,USA,Mid,85000,115000,95000
UI/UX Designer,Design,USA,Senior,120000,160000,135000
UI/UX Designer,Design,Canada,Entry,50000,70000,60000
UI/UX Designer,Design,Canada,Mid,75000,100000,85000
UI/UX Designer,Design,Canada,Senior,105000,140000,120000
UI/UX Designer,Design,UK,Entry,30000,45000,38000
UI/UX Designer,Design,UK,Mid,50000,75000,60000
UI/UX Designer,Design,UK,Senior,80000,110000,95000
UI/UX Designer,Design,Germany,Entry,40000,55000,48000
UI/UX Designer,Design,Germany,Mid,60000,80000,70000
UI/UX Designer,Design,Germany,Senior,85000,115000,100000
UI/UX Designer,Design,Netherlands,Entry,35000,50000,42000
UI/UX Designer,Design,Netherlands,Mid,55000,75000,65000
UI/UX Designer,Design,Netherlands,Senior,80000,110000,95000
UI/UX Designer,Design,Switzerland,Entry,80000,100000,90000
UI/UX Designer,Design,Switzerland,Mid,105000,130000,115000
UI/UX Designer,Design,Switzerland,Senior,135000,170000,150000
UI/UX Designer,Design,Saudi Arabia,Entry,15000,25000,20000
UI/UX Designer,Design,Saudi Arabia,Mid,28000,48000,38000
UI/UX Designer,Design,Saudi Arabia,Senior,50000,80000,65000
UI/UX Designer,Design,UAE,Entry,20000,30000,25000
UI/UX Designer,Design,UAE,Mid,35000,55000,45000
UI/UX Designer,Design,UAE,Senior,60000,90000,75000
UI/UX Designer,Design,Qatar,Entry,18000,28000,23000
UI/UX Designer,Design,Qatar,Mid,32000,52000,42000
UI/UX Designer,Design,Qatar,Senior,55000,85000,70000
UI/UX Designer,Design,Egypt,Entry,2500,5000,3500
UI/UX Designer,Design,Egypt,Mid,6000,10000,7500
UI/UX Designer,Design,Egypt,Senior,12000,20000,15000
UI/UX Designer,Design,Syria,Entry,1200,2500,1800
UI/UX Designer,Design,Syria,Mid,3000,5000,4000
UI/UX Designer,Design,Syria,Senior,6000,10000,8000
UI/UX Designer,Design,Palestine,Entry,5000,9000,7000
UI/UX Designer,Design,Palestine,Mid,10000,20000,15000
UI/UX Designer,Design,Palestine,Senior,20000,35000,28000
UI/UX Designer,Design,Jordan,Entry,6000,10000,8000
UI/UX Designer,Design,Jordan,Mid,11000,20000,15000
UI/UX Designer,Design,Jordan,Senior,22000,35000,28000
UI/UX Designer,Design,Morocco,Entry,4000,8000,6000
UI/UX Designer,Design,Morocco,Mid,9000,16000,12000
UI/UX Designer,Design,Morocco,Senior,18000,30000,24000
UI/UX Designer,Design,India,Entry,3000,7000,5000
UI/UX Designer,Design,India,Mid,8000,16000,12000
UI/UX Designer,Design,India,Senior,20000,35000,28000
UI/UX Designer,Design,Pakistan,Entry,2500,5500,4000
UI/UX Designer,Design,Pakistan,Mid,6000,12000,9000
UI/UX Designer,Design,Pakistan,Senior,15000,25000,20000
UI/UX Designer,Design,Singapore,Entry,40000,60000,50000
UI/UX Designer,Design,Singapore,Mid,65000,90000,75000
UI/UX Designer,Design,Singapore,Senior,100000,140000,120000
UI/UX Designer,Design,Japan,Entry,30000,45000,38000
UI/UX Designer,Design,Japan,Mid,50000,70000,60000
UI/UX Designer,Design,Japan,Senior,75000,105000,90000
UI/UX Designer,Design,Australia,Entry,45000,65000,55000
UI/UX Designer,Design,Australia,Mid,70000,100000,85000
UI/UX Designer,Design,Australia,Senior,105000,140000,120000
UI/UX Designer,Design,Brazil,Entry,7000,12000,9500
UI/UX Designer,Design,Brazil,Mid,14000,25000,19000
UI/UX Designer,Design,Brazil,Senior,28000,45000,36000
UI/UX Designer,Design,South Africa,Entry,10000,18000,14000
UI/UX Designer,Design,South Africa,Mid,22000,36000,29000
UI/UX Designer,Design,South Africa,Senior,40000,65000,52000
UI/UX Designer,Design,Nigeria,Entry,3000,7000,5000
UI/UX Designer,Design,Nigeria,Mid,9000,16000,12000
UI/UX Designer,Design,Nigeria,Senior,20000,30000,25000
Full Stack Developer,Engineering,USA,Entry,80000,105000,92000
Full Stack Developer,Engineering,USA,Mid,115000,150000,130000
Full Stack Developer,Engineering,USA,Senior,150000,200000,175000
Full Stack Developer,Engineering,Canada,Entry,65000,85000,75000
Full Stack Developer,Engineering,Canada,Mid,90000,125000,105000
Full Stack Developer,Engineering,Canada,Senior,125000,165000,145000
Full Stack Developer,Engineering,UK,Entry,45000,60000,52000
Full Stack Developer,Engineering,UK,Mid,65000,95000,78000
Full Stack Developer,Engineering,UK,Senior,95000,135000,115000
Full Stack Developer,Engineering,Germany,Entry,55000,70000,62000
Full Stack Developer,Engineering,Germany,Mid,75000,95000,85000
Full Stack Developer,Engineering,Germany,Senior,100000,135000,115000
Full Stack Developer,Engineering,Netherlands,Entry,50000,65000,57000
Full Stack Developer,Engineering,Netherlands,Mid,70000,90000,80000
Full Stack Developer,Engineering,Netherlands,Senior,95000,125000,110000
Full Stack Developer,Engineering,Switzerland,Entry,95000,120000,107000
Full Stack Developer,Engineering,Switzerland,Mid,125000,155000,140000
Full Stack Developer,Engineering,Switzerland,Senior,160000,195000,175000
Full Stack Developer,Engineering,Saudi Arabia,Entry,22000,32000,27000
Full Stack Developer,Engineering,Saudi Arabia,Mid,38000,65000,50000
Full Stack Developer,Engineering,Saudi Arabia,Senior,70000,105000,85000
Full Stack Developer,Engineering,UAE,Entry,30000,40000,35000
Full Stack Developer,Engineering,UAE,Mid,48000,75000,60000
Full Stack Developer,Engineering,UAE,Senior,80000,130000,105000
Full Stack Developer,Engineering,Qatar,Entry,27000,38000,32000
Full Stack Developer,Engineering,Qatar,Mid,42000,68000,55000
Full Stack Developer,Engineering,Qatar,Senior,75000,115000,95000
Full Stack Developer,Engineering,Egypt,Entry,4000,7000,5500
Full Stack Developer,Engineering,Egypt,Mid,8000,15000,11000
Full Stack Developer,Engineering,Egypt,Senior,16000,30000,22000
Full Stack Developer,Engineering,Syria,Entry,2000,4000,3000
Full Stack Developer,Engineering,Syria,Mid,4500,8000,6000
Full Stack Developer,Engineering,Syria,Senior,8500,15000,11500
Full Stack Developer,Engineering,Palestine,Entry,7000,12000,9500
Full Stack Developer,Engineering,Palestine,Mid,14000,28000,21000
Full Stack Developer,Engineering,Palestine,Senior,28000,52000,40000
Full Stack Developer,Engineering,Jordan,Entry,8000,13000,10500
Full Stack Developer,Engineering,Jordan,Mid,14000,26000,20000
Full Stack Developer,Engineering,Jordan,Senior,28000,46000,37000
Full Stack Developer,Engineering,Morocco,Entry,6000,10000,8000
Full Stack Developer,Engineering,Morocco,Mid,12000,21000,16500
Full Stack Developer,Engineering,Morocco,Senior,24000,40000,32000
Full Stack Developer,Engineering,India,Entry,5000,10000,7500
Full Stack Developer,Engineering,India,Mid,12000,24000,18000
Full Stack Developer,Engineering,India,Senior,28000,52000,40000
Full Stack Developer,Engineering,Pakistan,Entry,4000,7500,5500
Full Stack Developer,Engineering,Pakistan,Mid,9000,18000,13000
Full Stack Developer,Engineering,Pakistan,Senior,22000,36000,28000
Full Stack Developer,Engineering,Singapore,Entry,55000,75000,65000
Full Stack Developer,Engineering,Singapore,Mid,80000,115000,97000
Full Stack Developer,Engineering,Singapore,Senior,125000,165000,145000
Full Stack Developer,Engineering,Japan,Entry,45000,60000,52000
Full Stack Developer,Engineering,Japan,Mid,65000,85000,75000
Full Stack Developer,Engineering,Japan,Senior,90000,125000,107000
Full Stack Developer,Engineering,Australia,Entry,60000,80000,70000
Full Stack Developer,Engineering,Australia,Mid,85000,120000,102000
Full Stack Developer,Engineering,Australia,Senior,125000,160000,142000
Full Stack Developer,Engineering,Brazil,Entry,9000,16000,12500
Full Stack Developer,Engineering,Brazil,Mid,18000,32000,25000
Full Stack Developer,Engineering,Brazil,Senior,34000,58000,46000
Full Stack Developer,Engineering,South Africa,Entry,14000,24000,19000
Full Stack Developer,Engineering,South Africa,Mid,29000,46000,37500
Full Stack Developer,Engineering,South Africa,Senior,52000,80000,66000
Full Stack Developer,Engineering,Nigeria,Entry,5000,9500,7000
Full Stack Developer,Engineering,Nigeria,Mid,12000,21000,16500
Full Stack Developer,Engineering,Nigeria,Senior,26000,42000,34000
Mobile Developer,Engineering,USA,Entry,72000,98000,85000
Mobile Developer,Engineering,USA,Mid,102000,138000,118000
Mobile Developer,Engineering,USA,Senior,142000,192000,162000
Mobile Developer,Engineering,Canada,Entry,58000,78000,68000
Mobile Developer,Engineering,Canada,Mid,82000,112000,98000
Mobile Developer,Engineering,Canada,Senior,118000,152000,132000
Mobile Developer,Engineering,UK,Entry,38000,52000,45000
Mobile Developer,Engineering,UK,Mid,58000,82000,68000
Mobile Developer,Engineering,UK,Senior,88000,122000,102000
Mobile Developer,Engineering,Germany,Entry,48000,62000,55000
Mobile Developer,Engineering,Germany,Mid,68000,88000,78000
Mobile Developer,Engineering,Germany,Senior,92000,122000,108000
Mobile Developer,Engineering,Netherlands,Entry,42000,58000,50000
Mobile Developer,Engineering,Netherlands,Mid,62000,82000,72000
Mobile Developer,Engineering,Netherlands,Senior,88000,118000,102000
Mobile Developer,Engineering,Switzerland,Entry,88000,112000,98000
Mobile Developer,Engineering,Switzerland,Mid,118000,142000,128000
Mobile Developer,Engineering,Switzerland,Senior,148000,182000,162000
Mobile Developer,Engineering,Saudi Arabia,Entry,19000,29000,24500
Mobile Developer,Engineering,Saudi Arabia,Mid,32000,58000,43500
Mobile Developer,Engineering,Saudi Arabia,Senior,62000,92000,78000
Mobile Developer,Engineering,UAE,Entry,26000,36000,31000
Mobile Developer,Engineering,UAE,Mid,42000,68000,52000
Mobile Developer,Engineering,UAE,Senior,72000,115000,92000
Mobile Developer,Engineering,Qatar,Entry,23000,33000,28000
Mobile Developer,Engineering,Qatar,Mid,38000,62000,50000
Mobile Developer,Engineering,Qatar,Senior,68000,102000,88000
Mobile Developer,Engineering,Egypt,Entry,3200,6200,4800
Mobile Developer,Engineering,Egypt,Mid,7200,12500,9200
Mobile Developer,Engineering,Egypt,Senior,14500,26000,19000
Mobile Developer,Engineering,Syria,Entry,1600,3200,2300
Mobile Developer,Engineering,Syria,Mid,3800,6500,5200
Mobile Developer,Engineering,Syria,Senior,7200,12500,9500
Mobile Developer,Engineering,Palestine,Entry,6200,10500,8200
Mobile Developer,Engineering,Palestine,Mid,12500,24500,18500
Mobile Developer,Engineering,Palestine,Senior,25500,46000,36000
Mobile Developer,Engineering,Jordan,Entry,7200,11500,9200
Mobile Developer,Engineering,Jordan,Mid,12500,23000,17000
Mobile Developer,Engineering,Jordan,Senior,25000,41000,31000
Mobile Developer,Engineering,Morocco,Entry,5200,9200,7200
Mobile Developer,Engineering,Morocco,Mid,10500,18500,14500
Mobile Developer,Engineering,Morocco,Senior,21000,36000,29000
Mobile Developer,Engineering,India,Entry,4200,8500,6200
Mobile Developer,Engineering,India,Mid,10500,21000,16000
Mobile Developer,Engineering,India,Senior,26000,46000,36000
Mobile Developer,Engineering,Pakistan,Entry,3200,6200,4800
Mobile Developer,Engineering,Pakistan,Mid,7500,15500,10500
Mobile Developer,Engineering,Pakistan,Senior,19000,31000,25000
Mobile Developer,Engineering,Singapore,Entry,48000,68000,58000
Mobile Developer,Engineering,Singapore,Mid,72000,102000,88000
Mobile Developer,Engineering,Singapore,Senior,112000,152000,132000
Mobile Developer,Engineering,Japan,Entry,38000,52000,45000
Mobile Developer,Engineering,Japan,Mid,58000,78000,68000
Mobile Developer,Engineering,Japan,Senior,82000,112000,98000
Mobile Developer,Engineering,Australia,Entry,52000,72000,62000
Mobile Developer,Engineering,Australia,Mid,78000,108000,92000
Mobile Developer,Engineering,Australia,Senior,112000,148000,128000
Mobile Developer,Engineering,Brazil,Entry,8200,14500,11200
Mobile Developer,Engineering,Brazil,Mid,16500,29000,22500
Mobile Developer,Engineering,Brazil,Senior,31000,51000,41000
Mobile Developer,Engineering,South Africa,Entry,12500,21000,16500
Mobile Developer,Engineering,South Africa,Mid,26000,42000,34000
Mobile Developer,Engineering,South Africa,Senior,46000,72000,58000
Mobile Developer,Engineering,Nigeria,Entry,4200,8200,6200
Mobile Developer,Engineering,Nigeria,Mid,10500,18500,14500
Mobile Developer,Engineering,Nigeria,Senior,23000,36000,29000
Mobile Developer,Engineering,USA,Entry,72000,98000,85000
Mobile Developer,Engineering,USA,Mid,102000,138000,118000
Mobile Developer,Engineering,USA,Senior,142000,192000,162000
Mobile Developer,Engineering,Canada,Entry,58000,78000,68000
Mobile Developer,Engineering,Canada,Mid,82000,112000,98000
Mobile Developer,Engineering,Canada,Senior,118000,152000,132000
Mobile Developer,Engineering,UK,Entry,38000,52000,45000
Mobile Developer,Engineering,UK,Mid,58000,82000,68000
Mobile Developer,Engineering,UK,Senior,88000,122000,102000
Mobile Developer,Engineering,Germany,Entry,48000,62000,55000
Mobile Developer,Engineering,Germany,Mid,68000,88000,78000
Mobile Developer,Engineering,Germany,Senior,92000,122000,108000
Mobile Developer,Engineering,Netherlands,Entry,42000,58000,50000
Mobile Developer,Engineering,Netherlands,Mid,62000,82000,72000
Mobile Developer,Engineering,Netherlands,Senior,88000,118000,102000
Mobile Developer,Engineering,Switzerland,Entry,88000,112000,98000
Mobile Developer,Engineering,Switzerland,Mid,118000,142000,128000
Mobile Developer,Engineering,Switzerland,Senior,148000,182000,162000
Mobile Developer,Engineering,Saudi Arabia,Entry,19000,29000,24500
Mobile Developer,Engineering,Saudi Arabia,Mid,32000,58000,43500
Mobile Developer,Engineering,Saudi Arabia,Senior,62000,92000,78000
Mobile Developer,Engineering,UAE,Entry,26000,36000,31000
Mobile Developer,Engineering,UAE,Mid,42000,68000,52000
Mobile Developer,Engineering,UAE,Senior,72000,115000,92000
Mobile Developer,Engineering,Qatar,Entry,23000,33000,28000
Mobile Developer,Engineering,Qatar,Mid,38000,62000,50000
Mobile Developer,Engineering,Qatar,Senior,68000,102000,88000
Mobile Developer,Engineering,Egypt,Entry,3200,6200,4800
Mobile Developer,Engineering,Egypt,Mid,7200,12500,9200
Mobile Developer,Engineering,Egypt,Senior,14500,26000,19000
Mobile Developer,Engineering,Syria,Entry,1600,3200,2300
Mobile Developer,Engineering,Syria,Mid,3800,6500,5200
Mobile Developer,Engineering,Syria,Senior,7200,12500,9500
Mobile Developer,Engineering,Palestine,Entry,6200,10500,8200
Mobile Developer,Engineering,Palestine,Mid,12500,24500,18500
Mobile Developer,Engineering,Palestine,Senior,25500,46000,36000
Mobile Developer,Engineering,Jordan,Entry,7200,11500,9200
Mobile Developer,Engineering,Jordan,Mid,12500,23000,17000
Mobile Developer,Engineering,Jordan,Senior,25000,41000,31000
Mobile Developer,Engineering,Morocco,Entry,5200,9200,7200
Mobile Developer,Engineering,Morocco,Mid,10500,18500,14500
Mobile Developer,Engineering,Morocco,Senior,21000,36000,29000
Mobile Developer,Engineering,India,Entry,4200,8500,6200
Mobile Developer,Engineering,India,Mid,10500,21000,16000
Mobile Developer,Engineering,India,Senior,26000,46000,36000
Mobile Developer,Engineering,Pakistan,Entry,3200,6200,4800
Mobile Developer,Engineering,Pakistan,Mid,7500,15500,10500
Mobile Developer,Engineering,Pakistan,Senior,19000,31000,25000
Mobile Developer,Engineering,Singapore,Entry,48000,68000,58000
Mobile Developer,Engineering,Singapore,Mid,72000,102000,88000
Mobile Developer,Engineering,Singapore,Senior,112000,152000,132000
Mobile Developer,Engineering,Japan,Entry,38000,52000,45000
Mobile Developer,Engineering,Japan,Mid,58000,78000,68000
Mobile Developer,Engineering,Japan,Senior,82000,112000,98000
Mobile Developer,Engineering,Australia,Entry,52000,72000,62000
Mobile Developer,Engineering,Australia,Mid,78000,108000,92000
Mobile Developer,Engineering,Australia,Senior,112000,148000,128000
Mobile Developer,Engineering,Brazil,Entry,8200,14500,11200
Mobile Developer,Engineering,Brazil,Mid,16500,29000,22500
Mobile Developer,Engineering,Brazil,Senior,31000,51000,41000
Mobile Developer,Engineering,South Africa,Entry,12500,21000,16500
Mobile Developer,Engineering,South Africa,Mid,26000,42000,34000
Mobile Developer,Engineering,South Africa,Senior,46000,72000,58000
Mobile Developer,Engineering,Nigeria,Entry,4200,8200,6200
Mobile Developer,Engineering,Nigeria,Mid,10500,18500,14500
Mobile Developer,Engineering,Nigeria,Senior,23000,36000,29000
Data Scientist,Data,USA,Entry,85000,115000,100000
Data Scientist,Data,USA,Mid,120000,160000,140000
Data Scientist,Data,USA,Senior,160000,220000,190000
Data Scientist,Data,Canada,Entry,70000,90000,80000
Data Scientist,Data,Canada,Mid,95000,130000,110000
Data Scientist,Data,Canada,Senior,135000,175000,155000
Data Scientist,Data,UK,Entry,45000,65000,55000
Data Scientist,Data,UK,Mid,70000,100000,85000
Data Scientist,Data,UK,Senior,100000,145000,125000
Data Scientist,Data,Germany,Entry,55000,75000,65000
Data Scientist,Data,Germany,Mid,80000,105000,92000
Data Scientist,Data,Germany,Senior,110000,145000,125000
Data Scientist,Data,Netherlands,Entry,50000,70000,60000
Data Scientist,Data,Netherlands,Mid,75000,100000,87000
Data Scientist,Data,Netherlands,Senior,105000,140000,120000
Data Scientist,Data,Switzerland,Entry,100000,130000,115000
Data Scientist,Data,Switzerland,Mid,135000,165000,150000
Data Scientist,Data,Switzerland,Senior,170000,210000,190000
Data Scientist,Data,Saudi Arabia,Entry,25000,35000,30000
Data Scientist,Data,Saudi Arabia,Mid,40000,70000,55000
Data Scientist,Data,Saudi Arabia,Senior,75000,115000,95000
Data Scientist,Data,UAE,Entry,32000,42000,37000
Data Scientist,Data,UAE,Mid,50000,80000,65000
Data Scientist,Data,UAE,Senior,85000,140000,115000
Data Scientist,Data,Qatar,Entry,28000,40000,34000
Data Scientist,Data,Qatar,Mid,45000,75000,60000
Data Scientist,Data,Qatar,Senior,80000,125000,105000
Data Scientist,Data,Egypt,Entry,4500,8000,6000
Data Scientist,Data,Egypt,Mid,9000,16000,12000
Data Scientist,Data,Egypt,Senior,18000,35000,25000
Data Scientist,Data,Syria,Entry,2500,4500,3500
Data Scientist,Data,Syria,Mid,5000,9000,7000
Data Scientist,Data,Syria,Senior,9500,16000,12500
Data Scientist,Data,Palestine,Entry,7500,13000,10000
Data Scientist,Data,Palestine,Mid,15000,30000,22000
Data Scientist,Data,Palestine,Senior,30000,58000,44000
Data Scientist,Data,Jordan,Entry,8500,14000,11000
Data Scientist,Data,Jordan,Mid,15000,28000,21000
Data Scientist,Data,Jordan,Senior,30000,52000,41000
Data Scientist,Data,Morocco,Entry,6500,11000,8500
Data Scientist,Data,Morocco,Mid,13000,23000,18000
Data Scientist,Data,Morocco,Senior,26000,44000,35000
Data Scientist,Data,India,Entry,6000,12000,9000
Data Scientist,Data,India,Mid,14000,28000,21000
Data Scientist,Data,India,Senior,32000,60000,45000
Data Scientist,Data,Pakistan,Entry,4500,9000,6500
Data Scientist,Data,Pakistan,Mid,10000,22000,15000
Data Scientist,Data,Pakistan,Senior,25000,45000,34000
Data Scientist,Data,Singapore,Entry,60000,85000,72000
Data Scientist,Data,Singapore,Mid,90000,125000,105000
Data Scientist,Data,Singapore,Senior,135000,180000,155000
Data Scientist,Data,Japan,Entry,50000,70000,60000
Data Scientist,Data,Japan,Mid,75000,95000,85000
Data Scientist,Data,Japan,Senior,100000,140000,120000
Data Scientist,Data,Australia,Entry,65000,85000,75000
Data Scientist,Data,Australia,Mid,90000,130000,110000
Data Scientist,Data,Australia,Senior,135000,180000,160000
Data Scientist,Data,Brazil,Entry,10000,18000,14000
Data Scientist,Data,Brazil,Mid,20000,35000,27000
Data Scientist,Data,Brazil,Senior,38000,65000,50000
Data Scientist,Data,South Africa,Entry,15000,26000,20000
Data Scientist,Data,South Africa,Mid,30000,55000,42000
Data Scientist,Data,South Africa,Senior,60000,90000,75000
Data Scientist,Data,Nigeria,Entry,6000,11000,8000
